City,State,Budget_Hotel,Food_Per_Day,Transport,Places
Mumbai,Maharashtra,1500,700,500,Gateway of India|Marine Drive|Juhu Beach|Elephanta Caves|Siddhivinayak Temple|Bandra Worli Sea Link
Delhi,Delhi,1400,650,400,India Gate|Red Fort|Qutub Minar|Lotus Temple|Akshardham Temple|Humayun Tomb
Bangalore,Karnataka,1200,500,300,Cubbon Park|Lalbagh|MG Road|Bannerghatta National Park|ISKCON Temple|Wonderla
Hyderabad,Telangana,1100,450,250,Charminar|Golconda Fort|Hussain Sagar|Ramoji Film City|Salar Jung Museum|Chowmahalla Palace
Chennai,Tamil Nadu,1000,450,250,Marina Beach|Mahabalipuram|VGP Marine Kingdom|Kapaleeshwarar Temple|Guindy National Park|Santhome Basilica
Goa,Goa,1000,500,300,Baga Beach|Fort Aguada|Calangute Beach|Dudhsagar Falls|Anjuna Beach|Basilica of Bom Jesus
Pune,Maharashtra,950,450,250,Shaniwar Wada|Sinhagad Fort|Aga Khan Palace|Khadakwasla Dam|Rajgad Fort|Lal Mahal
Jaipur,Rajasthan,1200,500,300,Hawa Mahal|Amber Fort|City Palace|Jal Mahal|Nahargarh Fort|Birla Mandir
Kolkata,West Bengal,900,400,200,Howrah Bridge|Victoria Memorial|Dakshineswar Temple|Science City|Eco Park|Indian Museum
Visakhapatnam,Andhra Pradesh,850,400,200,RK Beach|Kailasagiri|Araku Valley|Submarine Museum|Yarada Beach|Borra Caves
Ahmedabad,Gujarat,950,400,220,Sabarmati Ashram|Kankaria Lake|Adalaj Stepwell|Science City|Riverfront|Jama Masjid
Surat,Gujarat,850,350,180,Dumas Beach|Science Centre|Dutch Garden|Gopi Talav|Sarthana Nature Park|ISKCON Temple
Vadodara,Gujarat,850,350,180,Laxmi Vilas Palace|Sayaji Garden|EME Temple|Kirti Mandir|Baroda Museum|Sur Sagar Lake
Lucknow,Uttar Pradesh,850,350,200,Bara Imambara|Rumi Darwaza|Hazratganj|Ambedkar Park|Chota Imambara|Marine Drive
Kanpur,Uttar Pradesh,800,300,180,Allen Forest Zoo|JK Temple|Blue World Theme Park|Moti Jheel|Bithoor|Kanpur Memorial Church
Varanasi,Uttar Pradesh,900,350,200,Kashi Vishwanath Temple|Dashashwamedh Ghat|Sarnath|Assi Ghat|Manikarnika Ghat|Ramnagar Fort
Agra,Uttar Pradesh,1000,400,220,Taj Mahal|Agra Fort|Mehtab Bagh|Fatehpur Sikri|Itmad-ud-Daulah|Jama Masjid
Prayagraj,Uttar Pradesh,800,300,180,Triveni Sangam|Anand Bhavan|Khusro Bagh|Allahabad Fort|Hanuman Temple|Alopi Devi Temple
Bhopal,Madhya Pradesh,850,350,200,Upper Lake|Van Vihar|Sanchi Stupa|Bhojpur Temple|State Museum|Lower Lake
Indore,Madhya Pradesh,900,400,220,Rajwada Palace|Sarafa Bazaar|Lal Bagh Palace|Patalpani Falls|Khajrana Temple|Chappan Dukan
Gwalior,Madhya Pradesh,850,350,200,Gwalior Fort|Jai Vilas Palace|Sun Temple|Teli Ka Mandir|Sas Bahu Temple|Gujari Mahal
Patna,Bihar,750,300,150,Golghar|Bihar Museum|Takht Sri Patna Sahib|Eco Park|Mahavir Mandir|Gandhi Maidan
Ranchi,Jharkhand,800,350,180,Hundru Falls|Rock Garden|Tagore Hill|Dassam Falls|Patratu Valley|Jonha Falls
